variant; schedule; chunk_size; block_size; range_name; avg_time; std_dev; loops; trials
k5     ; guided  ; None      ;     262144; min_max   ;    0.798;   0.009;    30;      5
k5     ; guided  ; 1         ;     262144; min_max   ;    0.770;   0.006;    30;      5
k5     ; guided  ; 10        ;     262144; min_max   ;    0.827;   0.008;    30;      5
k5     ; guided  ; 100       ;     262144; min_max   ;    1.922;   0.069;    30;      5
k5     ; guided  ; 1000      ;     262144; min_max   ;    4.57 ;   0.028;    30;      5
k5     ; guided  ; 5000      ;     262144; min_max   ;    4.587;   0.034;    30;      5
k5     ; static  ; None      ;     524288; min_max   ;    0.909;   0.076;    30;      5
k5     ; static  ; 1         ;     524288; min_max   ;    0.878;   0.067;    30;      5
k5     ; static  ; 10        ;     524288; min_max   ;    0.962;   0.048;    30;      5
k5     ; static  ; 100       ;     524288; min_max   ;    2.748;   0.076;    30;      5
k5     ; static  ; 1000      ;     524288; min_max   ;    4.64 ;   0.043;    30;      5
k5     ; static  ; 5000      ;     524288; min_max   ;    4.743;   0.131;    30;      5
k5     ; dynamic ; None      ;     524288; min_max   ;    1.088;   0.171;    30;      5
k5     ; dynamic ; 1         ;     524288; min_max   ;    0.836;   0.02 ;    30;      5
k5     ; dynamic ; 10        ;     524288; min_max   ;    0.955;   0.014;    30;      5
k5     ; dynamic ; 100       ;     524288; min_max   ;    3.011;   0.06 ;    30;      5
k5     ; dynamic ; 1000      ;     524288; min_max   ;    4.617;   0.085;    30;      5
k5     ; dynamic ; 5000      ;     524288; min_max   ;    4.612;   0.052;    30;      5
k5     ; guided  ; None      ;     524288; min_max   ;    0.859;   0.084;    30;      5
k5     ; guided  ; 1         ;     524288; min_max   ;    0.775;   0.011;    30;      5
k5     ; guided  ; 10        ;     524288; min_max   ;    0.913;   0.007;    30;      5
k5     ; guided  ; 100       ;     524288; min_max   ;    2.852;   0.063;    30;      5
k5     ; guided  ; 1000      ;     524288; min_max   ;    4.653;   0.114;    30;      5
k5     ; guided  ; 5000      ;     524288; min_max   ;    4.649;   0.054;    30;      5
k5     ; static  ; None      ;    1048576; min_max   ;    1.183;   0.044;    30;      5
k5     ; static  ; 1         ;    1048576; min_max   ;    1.245;   0.096;    30;      5
k5     ; static  ; 10        ;    1048576; min_max   ;    1.32 ;   0.035;    30;      5
k5     ; static  ; 100       ;    1048576; min_max   ;    4.762;   0.083;    30;      5
k5     ; static  ; 1000      ;    1048576; min_max   ;    4.814;   0.239;    30;      5
k5     ; static  ; 5000      ;    1048576; min_max   ;    4.677;   0.208;    30;      5
k5     ; dynamic ; None      ;    1048576; min_max   ;    1.06 ;   0.017;    30;      5
k5     ; dynamic ; 1         ;    1048576; min_max   ;    1.034;   0.008;    30;      5
k5     ; dynamic ; 10        ;    1048576; min_max   ;    1.224;   0.011;    30;      5
k5     ; dynamic ; 100       ;    1048576; min_max   ;    4.487;   0.017;    30;      5
k5     ; dynamic ; 1000      ;    1048576; min_max   ;    4.453;   0.008;    30;      5
k5     ; dynamic ; 5000      ;    1048576; min_max   ;    4.558;   0.073;    30;      5
k5     ; guided  ; None      ;    1048576; min_max   ;    1.198;   0.044;    30;      5
k5     ; guided  ; 1         ;    1048576; min_max   ;    1.063;   0.047;    30;      5
k5     ; guided  ; 10        ;    1048576; min_max   ;    1.25 ;   0.02 ;    30;      5
k5     ; guided  ; 100       ;    1048576; min_max   ;    4.573;   0.06 ;    30;      5
k5     ; guided  ; 1000      ;    1048576; min_max   ;    4.471;   0.026;    30;      5
k5     ; guided  ; 5000      ;    1048576; min_max   ;    4.455;   0.011;    30;      5
