variant; schedule; chunk_size; block_size; range_name; avg_time; std_dev; loops; trials
k4; static; None; None; min_max; 7.512; 0.579; 10; 5
k4; static; 1; None; min_max; 4.721; 0.486; 10; 5
k4; static; 10; None; min_max; 4.598; 0.183; 10; 5
k4; static; 100; None; min_max; 6.28; 0.095; 10; 5
k4; static; 1000; None; min_max; 7.755; 0.172; 10; 5
k4; static; 5000; None; min_max; 9.408; 0.358; 10; 5
k4; dynamic; None; None; min_max; 8.723; 0.701; 10; 5
k4; dynamic; 1; None; min_max; 4.092; 0.372; 10; 5
k4; dynamic; 10; None; min_max; 5.351; 0.942; 10; 5
k4; dynamic; 100; None; min_max; 6.946; 0.696; 10; 5
k4; dynamic; 1000; None; min_max; 9.161; 0.445; 10; 5
k4; dynamic; 5000; None; min_max; 8.991; 0.331; 10; 5
k4; guided; None; None; min_max; 7.824; 0.44; 10; 5
k4; guided; 1; None; min_max; 8.062; 0.492; 10; 5
k4; guided; 10; None; min_max; 7.772; 0.358; 10; 5
k4; guided; 100; None; min_max; 7.644; 0.072; 10; 5
k4; guided; 1000; None; min_max; 7.694; 0.054; 10; 5
k4; guided; 5000; None; min_max; 8.859; 0.244; 10; 5
