Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,2.263197
1,Clockticks,30798144000
2,Performance-core (P-core),10061376000
2,Efficient-core (E-core),20736768000
1,Instructions Retired,14396928000
2,Performance-core (P-core),4932096000
2,Efficient-core (E-core),9464832000
1,CPI Rate,2.139216
2,Performance-core (P-core),2.039980
2,Efficient-core (E-core),2.190928
1,MUX Reliability,0.986107
1,Performance-core (P-core),
2,Retiring,17.1
3,Light Operations,14.3
4,FP Arithmetic,0.0
5,FP x87,0.0
5,FP Scalar,0.0
5,FP Vector,0.0
6,128-bit FP Vector,0.0
6,256-bit FP Vector,0.0
4,Integer Operations,0.0
5,128-bit Integer Vector Operations,0.0
5,256-bit Vector Operations,0.0
4,Memory Operations,4.8
4,Fused Instructions,1.0
4,Non Fused Branches,1.6
4,Other,7.0
5,Nop Instructions,0.0
5,Shuffles_256b,0.0
3,Heavy Operations,2.9
4,Few Uops Instructions,2.9
4,Microcode Sequencer,0.0
5,Assists,0.0
6,Page Faults,0.0
6,FP Assists,0.0
6,AVX Assists,0.0
5,CISC,0.0
2,Front-End Bound,23.4
3,Front-End Latency,11.5
4,ICache Misses,0.5
5,Code L2 Hit,0.0
5,Code L2 Miss,1.3
4,ITLB Misses,4.3
5,Code STLB Hit,4.1
5,Code STLB Miss,0.2
6,Code STLB Miss 4K,0.0
6,Code STLB Miss 2M,0.0
4,Branch Resteers,7.6
5,Mispredicts Resteers,6.0
5,Clears Resteers,1.6
5,Unknown Branches,0.0
4,MS Switches,0.0
4,Length Changing Prefixes,0.0
4,DSB Switches,0.6
3,Front-End Bandwidth,11.9
4,Front-End Bandwidth MITE,1.9
5,Decoder-0 Alone,0.0
4,Front-End Bandwidth DSB,20.0
4,Front-End Bandwidth LSD,0.6
4,MS,1.1
4,(Info) DSB Coverage,86.3
4,(Info) LSD Coverage,5.5
4,(Info) DSB Misses,1.5
2,Bad Speculation,38.5
3,Branch Mispredict,30.5
4,Other Mispredicts,10.2
3,Machine Clears,8.0
4,Other Nukes,8.0
2,Back-End Bound,21.0
3,Memory Bound,10.5
4,L1 Bound,7.6
5,DTLB Overhead,6.0
