Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,4.189570
1,Clockticks,65382720000
2,Performance-core (P-core),14047488000
2,Efficient-core (E-core),51335232000
1,Instructions Retired,117299520000
2,Performance-core (P-core),15158208000
2,Efficient-core (E-core),102141312000
1,CPI Rate,0.557400
2,Performance-core (P-core),0.926725
2,Efficient-core (E-core),0.502590
1,MUX Reliability,0.986104
1,Performance-core (P-core),
2,Retiring,33.7
3,Light Operations,25.7
4,FP Arithmetic,0.0
5,FP x87,0.0
5,FP Scalar,0.0
5,FP Vector,0.0
6,128-bit FP Vector,0.0
6,256-bit FP Vector,0.0
4,Integer Operations,0.0
5,128-bit Integer Vector Operations,0.0
5,256-bit Vector Operations,0.0
4,Memory Operations,4.0
4,Fused Instructions,4.4
4,Non Fused Branches,4.1
4,Other,13.2
5,Nop Instructions,0.0
5,Shuffles_256b,0.0
3,Heavy Operations,7.9
4,Few Uops Instructions,7.9
4,Microcode Sequencer,0.0
5,Assists,0.0
6,Page Faults,0.0
6,FP Assists,0.0
6,AVX Assists,0.0
5,CISC,0.0
2,Front-End Bound,50.1
3,Front-End Latency,25.4
4,ICache Misses,0.0
5,Code L2 Hit,0.0
5,Code L2 Miss,0.0
4,ITLB Misses,0.1
5,Code STLB Hit,0.0
5,Code STLB Miss,0.1
6,Code STLB Miss 4K,0.0
6,Code STLB Miss 2M,0.0
4,Branch Resteers,4.7
5,Mispredicts Resteers,5.4
5,Clears Resteers,0.0
5,Unknown Branches,0.0
4,MS Switches,0.0
4,Length Changing Prefixes,0.0
4,DSB Switches,0.5
3,Front-End Bandwidth,24.7
4,Front-End Bandwidth MITE,0.9
5,Decoder-0 Alone,0.0
4,Front-End Bandwidth DSB,32.1
4,Front-End Bandwidth LSD,1.9
4,MS,0.0
4,(Info) DSB Coverage,79.0
4,(Info) LSD Coverage,8.3
4,(Info) DSB Misses,3.0
2,Bad Speculation,13.1
3,Branch Mispredict,15.1
4,Other Mispredicts,4.7
3,Machine Clears,0.0
4,Other Nukes,0.0
2,Back-End Bound,3.2
3,Memory Bound,0.0
4,L1 Bound,16.9
5,DTLB Overhead,0.2
6,Load STLB Hit,0.2
6,Load STLB Miss,0.0
7,Load STLB Miss 4K,0.0
7,Load STLB Miss 2M,0.0
7,Load STLB Miss 1G,0.0
5,Loads Blocked by Store Forwarding,0.0
5,L1 Latency Dependency,7.0
5,Lock Latency,0.0
5,Split Loads,0.0
5,FB Full,0.0
4,L2 Bound,0.2
5,L2 Hit Latency,
4,L3 Bound,0.0
5,L3 Latency,
5,SQ Full,0.0
4,DRAM Bound,0.2
5,Memory Bandwidth,0.5
5,Memory Latency,0.9
4,Store Bound,0.0
5,Store Latency,0.5
5,Split Stores,0.0
5,DTLB Store Overhead,0.1
6,Store STLB Hit,0.0
6,Store STLB Miss,0.1
7,Store STLB Miss 4K,0.0
7,Store STLB Miss 2M,0.0
7,Store STLB Miss 1G,0.0
3,Core Bound,3.2
4,Divider,14.8
5,FP Divider,0.0
5,INT Divider,14.8
4,Serializing Operations,0.3
5,Slow Pause,0.0
5,C01 Wait,0.0
5,C02 Wait,0.0
5,Memory Fence,0.0
4,Port Utilization,43.3
5,Cycles of 0 Ports Utilized,0.5
6,Mixing Vectors,0.0
5,Cycles of 1 Port Utilized,30.5
5,Cycles of 2 Ports Utilized,24.6
5,Cycles of 3+ Ports Utilized,13.7
6,ALU Operation Utilization,40.0
7,Port 0,40.5
7,Port 1,38.7
7,Port 6,47.1
6,Load Operation Utilization,9.7
6,Store Operation Utilization,0.2
5,Vector Capacity Usage (FPU),0.0
1,Efficient-core (E-core),
2,Retiring,42.4
3,Arith Ops,36.4
4,Non Divider,34.7
4,FP Divide,0.0
4,Int Divider,1.7
3,Mem Ops,6.0
4,Loads,6.0
4,Stores,0.0
2,Front-End Bound,32.1
3,IFetch Latency,0.6
4,ICache Misses,0.1
4,ITLB Misses,0.1
4,BACLEARS,0.0
4,Branch Resteers,0.4
3,IFetch Bandwidth,31.5
4,Cisc,11.0
4,Decode,3.6
4,Pre-Decode Wrong,0.0
4,Front-End Other,16.8
2,Bad Speculation,21.8
3,Branch Mispredict,21.2
3,Machine Clears,0.6
4,Ucode_Assist,0.0
4,Machine_Restart,0.0
2,Back-End Bound,3.7
3,Memory Subsystem Bound,0.8
4,L2 Bound,0.2
4,L2 Miss,0.2
5,L3 Bound,0.2
5,Memory Bound,0.0
3,Core Bound,2.9
4,Serializing Operations,0.8
5,Pause,0.1
5,TPause,0.0
4,L1 Bound,0.2
4,RB Bound,0.0
4,Store Bound,0.0
4,Execution Bound,1.9
4,Allocation Bound,0.0
5,Allocation Restriction,0.0
2,Info Metrics,
3,Stores Bound,0.000372
3,Load Bound,0.009911
1,Average CPU Frequency,1773433801.814175
1,Total Thread Count,15
1,Paused Time,0.0
0,Effective Physical Core Utilization,71.0% (7.102 out of 10)
1,Effective Logical Core Utilization,73.3% (8.799 out of 12)
0,Collection and Platform Info,
1,Application Command Line,C:\Users\kamil\Desktop\studia\semestr_6\rownolegle\Projekt1_OpenMP_Sito\x64\Release\K2_Dzielenie_równoległe.exe "-m" "2" "-n" "50000000" "-t" "1" 
1,Operating System,Microsoft Windows 11
1,Computer Name,THINPAD_KAMIL
1,Result Size,83337754
1,Collection start time,16:34:54 20/05/2026 UTC
1,Collection stop time,16:34:58 20/05/2026 UTC
1,Collector Type,Event-based sampling driver
1,CPU,
2,Name,Intel(R) microarchitecture code named Alderlake-P
2,Frequency,2496009063
2,Logical CPU Count,12
2,Cache Allocation Technology,
3,Level 2 capability,not detected
3,Level 3 capability,not detected
