Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,2.081976
1,Clockticks,31239936000
2,Performance-core (P-core),11299392000
2,Efficient-core (E-core),19940544000
1,Instructions Retired,45928896000
2,Performance-core (P-core),20918976000
2,Efficient-core (E-core),25009920000
1,CPI Rate,0.680180
2,Performance-core (P-core),0.540150
2,Efficient-core (E-core),0.797305
1,MUX Reliability,0.940054
1,Performance-core (P-core),
2,Retiring,51.6
3,Light Operations,49.7
4,FP Arithmetic,0.0
5,FP x87,0.0
5,FP Scalar,0.0
5,FP Vector,0.0
6,128-bit FP Vector,0.0
6,256-bit FP Vector,0.0
4,Integer Operations,0.0
5,128-bit Integer Vector Operations,0.0
5,256-bit Vector Operations,0.0
4,Memory Operations,16.9
4,Fused Instructions,7.6
4,Non Fused Branches,2.4
4,Other,22.8
5,Nop Instructions,0.0
5,Shuffles_256b,0.0
3,Heavy Operations,1.9
4,Few Uops Instructions,1.9
4,Microcode Sequencer,0.0
5,Assists,0.0
6,Page Faults,0.0
6,FP Assists,0.0
6,AVX Assists,0.0
5,CISC,0.0
2,Front-End Bound,13.1
3,Front-End Latency,9.3
4,ICache Misses,0.1
5,Code L2 Hit,0.0
5,Code L2 Miss,0.6
4,ITLB Misses,7.0
5,Code STLB Hit,6.7
5,Code STLB Miss,0.3
6,Code STLB Miss 4K,0.0
6,Code STLB Miss 2M,0.0
4,Branch Resteers,1.4
5,Mispredicts Resteers,0.3
5,Clears Resteers,1.2
5,Unknown Branches,0.0
4,MS Switches,0.0
4,Length Changing Prefixes,0.0
4,DSB Switches,0.4
3,Front-End Bandwidth,3.8
4,Front-End Bandwidth MITE,1.8
5,Decoder-0 Alone,0.0
4,Front-End Bandwidth DSB,1.2
4,Front-End Bandwidth LSD,0.0
4,MS,1.0
4,(Info) DSB Coverage,19.9
4,(Info) LSD Coverage,67.2
4,(Info) DSB Misses,2.5
2,Bad Speculation,15.7
3,Branch Mispredict,2.8
4,Other Mispredicts,2.8
3,Machine Clears,12.9
4,Other Nukes,12.9
2,Back-End Bound,19.6
3,Memory Bound,13.1
4,L1 Bound,12.5
5,DTLB Overhead,0.1
6,Load STLB Hit,0.0
6,Load STLB Miss,0.1
7,Load STLB Miss 4K,0.0
7,Load STLB Miss 2M,0.0
7,Load STLB Miss 1G,0.0
5,Loads Blocked by Store Forwarding,0.0
5,L1 Latency Dependency,12.3
5,Lock Latency,0.1
5,Split Loads,0.0
5,FB Full,11.3
4,L2 Bound,0.0
5,L2 Hit Latency,0.0
4,L3 Bound,1.1
5,L3 Latency,0.0
5,SQ Full,0.0
4,DRAM Bound,0.6
5,Memory Bandwidth,0.3
5,Memory Latency,10.5
4,Store Bound,24.9
5,Store Latency,74.4
5,Split Stores,0.0
5,DTLB Store Overhead,38.6
6,Store STLB Hit,37.7
6,Store STLB Miss,1.0
7,Store STLB Miss 4K,0.0
7,Store STLB Miss 2M,0.0
7,Store STLB Miss 1G,0.0
3,Core Bound,6.5
4,Divider,0.0
5,FP Divider,0.0
5,INT Divider,0.0
4,Serializing Operations,2.6
5,Slow Pause,0.6
5,C01 Wait,0.0
5,C02 Wait,0.0
5,Memory Fence,0.0
4,Port Utilization,33.7
5,Cycles of 0 Ports Utilized,1.0
6,Mixing Vectors,0.0
5,Cycles of 1 Port Utilized,17.6
5,Cycles of 2 Ports Utilized,13.6
5,Cycles of 3+ Ports Utilized,34.0
6,ALU Operation Utilization,47.1
7,Port 0,46.6
7,Port 1,44.2
7,Port 6,53.8
6,Load Operation Utilization,20.3
6,Store Operation Utilization,27.8
5,Vector Capacity Usage (FPU),0.0
1,Efficient-core (E-core),
2,Retiring,26.2
3,Arith Ops,19.3
4,Non Divider,19.3
4,FP Divide,0.0
4,Int Divider,0.0
3,Mem Ops,6.8
4,Loads,3.6
4,Stores,3.3
2,Front-End Bound,4.6
3,IFetch Latency,0.4
4,ICache Misses,0.1
4,ITLB Misses,0.1
4,BACLEARS,0.1
4,Branch Resteers,0.1
3,IFetch Bandwidth,4.2
4,Cisc,2.4
4,Decode,0.9
4,Pre-Decode Wrong,0.0
4,Front-End Other,0.9
2,Bad Speculation,1.0
3,Branch Mispredict,3.7
3,Machine Clears,0.0
4,Ucode_Assist,0.0
4,Machine_Restart,0.1
2,Back-End Bound,68.3
3,Memory Subsystem Bound,2.0
4,L2 Bound,0.8
4,L2 Miss,1.7
5,L3 Bound,1.6
5,Memory Bound,0.0
3,Core Bound,66.3
4,Serializing Operations,10.6
5,Pause,5.4
5,TPause,0.0
4,L1 Bound,2.0
4,RB Bound,0.0
4,Store Bound,44.9
4,Execution Bound,8.3
4,Allocation Bound,0.4
5,Allocation Restriction,0.4
2,Info Metrics,
3,Stores Bound,0.449462
3,Load Bound,0.039718
1,Average CPU Frequency,1674800304.016726
1,Total Thread Count,15
1,Paused Time,0.0
0,Effective Physical Core Utilization,62.6% (6.261 out of 10)
1,Effective Logical Core Utilization,72.8% (8.736 out of 12)
0,Collection and Platform Info,
1,Application Command Line,C:\Users\kamil\Desktop\studia\semestr_6\rownolegle\Projekt1_OpenMP_Sito\x64\Release\K5_Sito_równoległe_domenowe.exe "-m" "2" "-n" "50000000" "-t" "50" "-b" "65536" 
1,Operating System,Microsoft Windows 11
1,Computer Name,THINPAD_KAMIL
1,Result Size,64708968
1,Collection start time,16:44:28 20/05/2026 UTC
1,Collection stop time,16:44:30 20/05/2026 UTC
1,Collector Type,Event-based sampling driver
1,CPU,
2,Name,Intel(R) microarchitecture code named Alderlake-P
2,Frequency,2496009114
2,Logical CPU Count,12
2,Cache Allocation Technology,
3,Level 2 capability,not detected
3,Level 3 capability,not detected
