Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,10.959464
1,Clockticks,25419264000
2,Performance-core (P-core),6906432000
2,Efficient-core (E-core),18512832000
1,Instructions Retired,17322240000
2,Performance-core (P-core),5024448000
2,Efficient-core (E-core),12297792000
1,CPI Rate,1.467435
2,Performance-core (P-core),1.374565
2,Efficient-core (E-core),1.505379
1,MUX Reliability,0.998555
1,Performance-core (P-core),
2,Retiring,10.0
3,Light Operations,9.8
4,FP Arithmetic,0.0
5,FP x87,0.0
5,FP Scalar,0.0
5,FP Vector,0.0
6,128-bit FP Vector,0.0
6,256-bit FP Vector,0.0
4,Integer Operations,0.0
5,128-bit Integer Vector Operations,0.0
5,256-bit Vector Operations,0.0
4,Memory Operations,2.6
4,Fused Instructions,1.7
4,Non Fused Branches,0.6
4,Other,5.0
5,Nop Instructions,0.0
5,Shuffles_256b,0.0
3,Heavy Operations,0.2
4,Few Uops Instructions,0.2
4,Microcode Sequencer,0.0
5,Assists,0.0
6,Page Faults,0.0
6,FP Assists,0.0
6,AVX Assists,0.0
5,CISC,0.0
2,Front-End Bound,0.6
3,Front-End Latency,0.5
4,ICache Misses,0.2
5,Code L2 Hit,0.0
5,Code L2 Miss,0.5
4,ITLB Misses,5.7
5,Code STLB Hit,5.7
5,Code STLB Miss,0.0
6,Code STLB Miss 4K,0.0
6,Code STLB Miss 2M,0.0
4,Branch Resteers,0.0
5,Mispredicts Resteers,0.0
5,Clears Resteers,0.0
5,Unknown Branches,0.0
4,MS Switches,0.0
4,Length Changing Prefixes,0.0
4,DSB Switches,0.0
3,Front-End Bandwidth,0.2
4,Front-End Bandwidth MITE,0.0
5,Decoder-0 Alone,0.0
4,Front-End Bandwidth DSB,0.0
4,Front-End Bandwidth LSD,0.0
4,MS,0.0
4,(Info) DSB Coverage,1.5
4,(Info) LSD Coverage,82.1
4,(Info) DSB Misses,0.0
2,Bad Speculation,0.0
3,Branch Mispredict,0.0
4,Other Mispredicts,0.0
3,Machine Clears,0.0
4,Other Nukes,0.0
2,Back-End Bound,90.8
3,Memory Bound,86.9
4,L1 Bound,0.0
5,DTLB Overhead,0.0
6,Load STLB Hit,0.0
6,Load STLB Miss,0.1
7,Load STLB Miss 4K,0.0
7,Load STLB Miss 2M,0.0
7,Load STLB Miss 1G,0.0
5,Loads Blocked by Store Forwarding,0.0
5,L1 Latency Dependency,0.0
5,Lock Latency,0.0
5,Split Loads,0.0
5,FB Full,49.1
4,L2 Bound,0.5
5,L2 Hit Latency,0.0
4,L3 Bound,0.5
5,L3 Latency,0.0
5,SQ Full,20.4
4,DRAM Bound,0.5
5,Memory Bandwidth,0.5
5,Memory Latency,2.8
4,Store Bound,79.7
5,Store Latency,100.0
5,Split Stores,0.0
5,DTLB Store Overhead,18.3
6,Store STLB Hit,1.0
6,Store STLB Miss,17.4
7,Store STLB Miss 4K,17.4
7,Store STLB Miss 2M,0.0
7,Store STLB Miss 1G,0.0
3,Core Bound,3.8
4,Divider,0.0
5,FP Divider,0.0
5,INT Divider,0.0
4,Serializing Operations,0.3
5,Slow Pause,0.0
5,C01 Wait,0.0
5,C02 Wait,0.0
5,Memory Fence,0.0
4,Port Utilization,60.1
5,Cycles of 0 Ports Utilized,55.7
6,Mixing Vectors,0.0
5,Cycles of 1 Port Utilized,3.7
5,Cycles of 2 Ports Utilized,1.9
5,Cycles of 3+ Ports Utilized,12.0
6,ALU Operation Utilization,6.6
7,Port 0,5.5
7,Port 1,6.4
7,Port 6,9.1
6,Load Operation Utilization,0.0
6,Store Operation Utilization,4.6
5,Vector Capacity Usage (FPU),0.0
1,Efficient-core (E-core),
2,Retiring,14.3
3,Arith Ops,12.3
4,Non Divider,12.3
4,FP Divide,0.0
4,Int Divider,0.0
3,Mem Ops,2.0
4,Loads,0.0
4,Stores,2.0
2,Front-End Bound,4.9
3,IFetch Latency,0.4
4,ICache Misses,0.3
4,ITLB Misses,0.1
4,BACLEARS,0.0
4,Branch Resteers,0.1
3,IFetch Bandwidth,4.5
4,Cisc,0.1
4,Decode,3.5
4,Pre-Decode Wrong,0.0
4,Front-End Other,0.5
2,Bad Speculation,0.0
3,Branch Mispredict,0.1
3,Machine Clears,0.0
4,Ucode_Assist,0.0
4,Machine_Restart,0.0
2,Back-End Bound,80.9
3,Memory Subsystem Bound,0.4
4,L2 Bound,0.2
4,L2 Miss,0.3
5,L3 Bound,0.1
5,Memory Bound,0.2
3,Core Bound,80.4
4,Serializing Operations,0.7
5,Pause,0.7
5,TPause,0.0
4,L1 Bound,1.3
4,RB Bound,0.0
4,Store Bound,48.2
4,Execution Bound,30.1
4,Allocation Bound,0.0
5,Allocation Restriction,0.0
2,Info Metrics,
3,Stores Bound,0.482045
3,Load Bound,0.017890
1,Average CPU Frequency,2642070088.136368
1,Total Thread Count,4
1,Paused Time,0.0
0,Effective Physical Core Utilization,7.5% (0.753 out of 10)
1,Effective Logical Core Utilization,7.3% (0.878 out of 12)
0,Collection and Platform Info,
1,Application Command Line,C:\Users\kamil\Desktop\studia\semestr_6\rownolegle\Projekt1_OpenMP_Sito\x64\Release\K3_Sito_sekwencyjne_bez_lokalności.exe "-m" "2" "-n" "50000000" "-t" "20" 
1,Operating System,Microsoft Windows 11
1,Computer Name,THINPAD_KAMIL
1,Result Size,49381586
1,Collection start time,16:37:13 20/05/2026 UTC
1,Collection stop time,16:37:24 20/05/2026 UTC
1,Collector Type,Event-based sampling driver
1,CPU,
2,Name,Intel(R) microarchitecture code named Alderlake-P
2,Frequency,2496009065
2,Logical CPU Count,12
2,Cache Allocation Technology,
3,Level 2 capability,not detected
3,Level 3 capability,not detected
