Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,25.846440
1,Clockticks,55778112000
2,Performance-core (P-core),7438080000
2,Efficient-core (E-core),48340032000
1,Instructions Retired,35236032000
2,Performance-core (P-core),5106816000
2,Efficient-core (E-core),30129216000
1,CPI Rate,1.582985
2,Performance-core (P-core),1.456500
2,Efficient-core (E-core),1.604424
1,MUX Reliability,0.999750
1,Performance-core (P-core),
2,Retiring,12.0
3,Light Operations,12.0
4,FP Arithmetic,0.0
5,FP x87,0.0
5,FP Scalar,0.0
5,FP Vector,0.0
6,128-bit FP Vector,0.0
6,256-bit FP Vector,0.0
4,Integer Operations,0.0
5,128-bit Integer Vector Operations,0.0
5,256-bit Vector Operations,0.0
4,Memory Operations,1.5
4,Fused Instructions,1.6
4,Non Fused Branches,0.0
4,Other,9.2
5,Nop Instructions,0.0
5,Shuffles_256b,0.0
3,Heavy Operations,0.0
4,Few Uops Instructions,0.0
4,Microcode Sequencer,0.0
5,Assists,0.0
6,Page Faults,0.0
6,FP Assists,0.0
6,AVX Assists,0.0
5,CISC,0.0
2,Front-End Bound,0.5
3,Front-End Latency,0.0
4,ICache Misses,0.6
5,Code L2 Hit,0.2
5,Code L2 Miss,0.4
4,ITLB Misses,1.3
5,Code STLB Hit,1.2
5,Code STLB Miss,0.1
6,Code STLB Miss 4K,0.0
6,Code STLB Miss 2M,0.0
4,Branch Resteers,0.0
5,Mispredicts Resteers,0.0
5,Clears Resteers,0.0
5,Unknown Branches,0.0
4,MS Switches,0.0
4,Length Changing Prefixes,0.0
4,DSB Switches,0.0
3,Front-End Bandwidth,0.5
4,Front-End Bandwidth MITE,0.0
5,Decoder-0 Alone,0.0
4,Front-End Bandwidth DSB,0.5
4,Front-End Bandwidth LSD,0.0
4,MS,0.0
4,(Info) DSB Coverage,8.3
4,(Info) LSD Coverage,100.0
4,(Info) DSB Misses,0.0
2,Bad Speculation,0.0
3,Branch Mispredict,0.0
4,Other Mispredicts,0.0
3,Machine Clears,0.0
4,Other Nukes,0.0
2,Back-End Bound,100.0
3,Memory Bound,100.0
4,L1 Bound,0.0
5,DTLB Overhead,0.0
6,Load STLB Hit,0.0
6,Load STLB Miss,0.1
7,Load STLB Miss 4K,0.0
7,Load STLB Miss 2M,0.0
7,Load STLB Miss 1G,0.0
5,Loads Blocked by Store Forwarding,0.0
5,L1 Latency Dependency,0.0
5,Lock Latency,0.0
5,Split Loads,0.0
5,FB Full,54.2
4,L2 Bound,1.3
5,L2 Hit Latency,0.0
4,L3 Bound,0.9
5,L3 Latency,0.0
5,SQ Full,20.7
4,DRAM Bound,0.9
5,Memory Bandwidth,0.4
5,Memory Latency,3.9
4,Store Bound,79.2
5,Store Latency,86.0
5,Split Stores,0.0
5,DTLB Store Overhead,33.0
6,Store STLB Hit,0.7
6,Store STLB Miss,32.3
7,Store STLB Miss 4K,32.3
7,Store STLB Miss 2M,0.0
7,Store STLB Miss 1G,0.0
3,Core Bound,0.0
4,Divider,0.0
5,FP Divider,0.0
5,INT Divider,0.0
4,Serializing Operations,0.4
5,Slow Pause,0.0
5,C01 Wait,0.0
5,C02 Wait,0.0
5,Memory Fence,0.0
4,Port Utilization,59.7
5,Cycles of 0 Ports Utilized,55.6
6,Mixing Vectors,0.0
5,Cycles of 1 Port Utilized,3.4
5,Cycles of 2 Ports Utilized,1.7
5,Cycles of 3+ Ports Utilized,6.0
6,ALU Operation Utilization,7.4
7,Port 0,7.2
7,Port 1,7.2
7,Port 6,10.3
6,Load Operation Utilization,0.0
6,Store Operation Utilization,4.6
5,Vector Capacity Usage (FPU),0.0
1,Efficient-core (E-core),
2,Retiring,12.7
3,Arith Ops,10.8
4,Non Divider,10.8
4,FP Divide,0.0
4,Int Divider,0.0
3,Mem Ops,1.9
4,Loads,0.0
4,Stores,1.9
2,Front-End Bound,4.3
3,IFetch Latency,0.4
4,ICache Misses,0.2
4,ITLB Misses,0.1
4,BACLEARS,0.0
4,Branch Resteers,0.1
3,IFetch Bandwidth,3.9
4,Cisc,0.1
4,Decode,2.9
4,Pre-Decode Wrong,0.0
4,Front-End Other,0.4
2,Bad Speculation,0.4
3,Branch Mispredict,0.1
3,Machine Clears,0.3
4,Ucode_Assist,0.0
4,Machine_Restart,0.0
2,Back-End Bound,82.7
3,Memory Subsystem Bound,0.3
4,L2 Bound,0.2
4,L2 Miss,0.2
5,L3 Bound,0.1
5,Memory Bound,0.1
3,Core Bound,82.3
4,Serializing Operations,0.6
5,Pause,0.7
5,TPause,0.0
4,L1 Bound,1.4
4,RB Bound,0.0
4,Store Bound,45.5
4,Execution Bound,34.7
4,Allocation Bound,0.0
5,Allocation Restriction,0.0
2,Info Metrics,
3,Stores Bound,0.455017
3,Load Bound,0.017609
1,Average CPU Frequency,2480028195.765506
1,Total Thread Count,4
1,Paused Time,0.0
0,Effective Physical Core Utilization,7.9% (0.794 out of 10)
1,Effective Logical Core Utilization,7.3% (0.870 out of 12)
0,Collection and Platform Info,
