Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,5.030912
1,Clockticks,13406016000
2,Performance-core (P-core),7198464000
2,Efficient-core (E-core),6207552000
1,Instructions Retired,37337664000
2,Performance-core (P-core),22361664000
2,Efficient-core (E-core),14976000000
1,CPI Rate,0.359048
2,Performance-core (P-core),0.321911
2,Efficient-core (E-core),0.414500
1,MUX Reliability,0.951216
1,Performance-core (P-core),
2,Retiring,52.5
3,Light Operations,51.6
4,FP Arithmetic,0.0
5,FP x87,0.0
5,FP Scalar,0.0
5,FP Vector,0.0
6,128-bit FP Vector,0.0
6,256-bit FP Vector,0.0
4,Integer Operations,0.0
5,128-bit Integer Vector Operations,0.0
5,256-bit Vector Operations,0.0
4,Memory Operations,6.8
4,Fused Instructions,6.3
4,Non Fused Branches,0.9
4,Other,37.6
5,Nop Instructions,0.0
5,Shuffles_256b,0.0
3,Heavy Operations,0.9
4,Few Uops Instructions,0.9
4,Microcode Sequencer,0.0
5,Assists,0.0
6,Page Faults,0.0
6,FP Assists,0.0
6,AVX Assists,0.0
5,CISC,0.0
2,Front-End Bound,11.9
3,Front-End Latency,3.4
4,ICache Misses,0.0
5,Code L2 Hit,0.0
5,Code L2 Miss,0.4
4,ITLB Misses,5.9
5,Code STLB Hit,5.7
5,Code STLB Miss,0.2
6,Code STLB Miss 4K,0.0
6,Code STLB Miss 2M,0.0
4,Branch Resteers,2.0
5,Mispredicts Resteers,2.0
5,Clears Resteers,0.0
5,Unknown Branches,0.0
4,MS Switches,0.0
4,Length Changing Prefixes,0.0
4,DSB Switches,0.4
3,Front-End Bandwidth,8.4
4,Front-End Bandwidth MITE,0.0
5,Decoder-0 Alone,0.0
4,Front-End Bandwidth DSB,8.0
4,Front-End Bandwidth LSD,0.4
4,MS,0.0
4,(Info) DSB Coverage,25.8
4,(Info) LSD Coverage,62.7
4,(Info) DSB Misses,0.1
2,Bad Speculation,12.5
3,Branch Mispredict,12.7
4,Other Mispredicts,0.0
3,Machine Clears,0.0
4,Other Nukes,0.0
2,Back-End Bound,23.1
3,Memory Bound,0.0
4,L1 Bound,0.0
5,DTLB Overhead,0.0
6,Load STLB Hit,0.0
6,Load STLB Miss,0.0
7,Load STLB Miss 4K,0.0
