Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,27.151821
1,Clockticks,61915776000
2,Performance-core (P-core),6726720000
2,Efficient-core (E-core),55189056000
1,Instructions Retired,151200192000
2,Performance-core (P-core),9085440000
2,Efficient-core (E-core),142114752000
1,CPI Rate,0.409495
2,Performance-core (P-core),0.740385
2,Efficient-core (E-core),0.388342
1,MUX Reliability,0.980947
1,Performance-core (P-core),
2,Retiring,23.9
3,Light Operations,19.5
4,FP Arithmetic,0.0
5,FP x87,0.0
5,FP Scalar,0.0
5,FP Vector,0.0
6,128-bit FP Vector,0.0
6,256-bit FP Vector,0.0
4,Integer Operations,0.0
5,128-bit Integer Vector Operations,0.0
5,256-bit Vector Operations,0.0
4,Memory Operations,2.0
4,Fused Instructions,2.2
4,Non Fused Branches,2.4
4,Other,12.8
5,Nop Instructions,0.0
5,Shuffles_256b,0.0
3,Heavy Operations,4.4
4,Few Uops Instructions,4.4
4,Microcode Sequencer,0.0
5,Assists,0.0
6,Page Faults,0.0
6,FP Assists,0.0
6,AVX Assists,0.0
5,CISC,0.0
2,Front-End Bound,35.8
3,Front-End Latency,14.1
4,ICache Misses,0.0
5,Code L2 Hit,0.0
5,Code L2 Miss,0.0
4,ITLB Misses,0.0
5,Code STLB Hit,0.0
5,Code STLB Miss,0.1
6,Code STLB Miss 4K,0.0
6,Code STLB Miss 2M,0.0
4,Branch Resteers,6.2
5,Mispredicts Resteers,6.9
5,Clears Resteers,0.0
5,Unknown Branches,0.0
4,MS Switches,0.0
4,Length Changing Prefixes,0.0
4,DSB Switches,0.2
3,Front-End Bandwidth,21.8
4,Front-End Bandwidth MITE,0.0
5,Decoder-0 Alone,0.0
4,Front-End Bandwidth DSB,33.0
4,Front-End Bandwidth LSD,1.0
4,MS,0.0
4,(Info) DSB Coverage,84.6
4,(Info) LSD Coverage,5.5
4,(Info) DSB Misses,0.5
2,Bad Speculation,33.5
3,Branch Mispredict,37.3
4,Other Mispredicts,4.1
3,Machine Clears,0.0
4,Other Nukes,0.0
2,Back-End Bound,6.8
3,Memory Bound,0.0
4,L1 Bound,1.9
5,DTLB Overhead,0.0
6,Load STLB Hit,0.0
6,Load STLB Miss,0.0
7,Load STLB Miss 4K,0.0
7,Load STLB Miss 2M,0.0
7,Load STLB Miss 1G,0.0
5,Loads Blocked by Store Forwarding,0.0
5,L1 Latency Dependency,5.1
5,Lock Latency,0.0
5,Split Loads,0.0
5,FB Full,0.0
4,L2 Bound,0.0
5,L2 Hit Latency,0.0
4,L3 Bound,0.0
5,L3 Latency,0.0
5,SQ Full,0.0
4,DRAM Bound,0.0
5,Memory Bandwidth,0.0
5,Memory Latency,0.5
4,Store Bound,0.0
5,Store Latency,0.5
5,Split Stores,0.0
5,DTLB Store Overhead,0.0
6,Store STLB Hit,0.0
6,Store STLB Miss,0.0
7,Store STLB Miss 4K,0.0
7,Store STLB Miss 2M,0.0
7,Store STLB Miss 1G,0.0
3,Core Bound,6.8
4,Divider,21.4
5,FP Divider,0.0
5,INT Divider,21.4
4,Serializing Operations,0.1
5,Slow Pause,0.0
5,C01 Wait,0.0
5,C02 Wait,0.0
5,Memory Fence,0.0
4,Port Utilization,19.2
5,Cycles of 0 Ports Utilized,1.5
6,Mixing Vectors,0.0
5,Cycles of 1 Port Utilized,9.5
5,Cycles of 2 Ports Utilized,15.2
5,Cycles of 3+ Ports Utilized,42.8
6,ALU Operation Utilization,32.1
7,Port 0,20.3
7,Port 1,38.5
7,Port 6,43.6
6,Load Operation Utilization,8.5
6,Store Operation Utilization,0.0
5,Vector Capacity Usage (FPU),0.0
1,Efficient-core (E-core),
2,Retiring,54.2
3,Arith Ops,48.3
4,Non Divider,46.6
4,FP Divide,0.0
4,Int Divider,1.7
3,Mem Ops,6.0
4,Loads,5.9
4,Stores,0.0
2,Front-End Bound,15.3
3,IFetch Latency,0.3
4,ICache Misses,0.0
4,ITLB Misses,0.1
4,BACLEARS,0.0
4,Branch Resteers,0.1
3,IFetch Bandwidth,15.0
4,Cisc,3.1
4,Decode,11.4
4,Pre-Decode Wrong,0.0
4,Front-End Other,0.3
2,Bad Speculation,23.1
3,Branch Mispredict,23.2
3,Machine Clears,0.0
4,Ucode_Assist,0.0
4,Machine_Restart,0.0
2,Back-End Bound,7.3
3,Memory Subsystem Bound,0.6
4,L2 Bound,0.2
4,L2 Miss,0.1
5,L3 Bound,0.0
5,Memory Bound,0.1
3,Core Bound,6.7
4,Serializing Operations,0.5
5,Pause,0.0
5,TPause,0.0
4,L1 Bound,0.1
4,RB Bound,0.0
4,Store Bound,0.0
4,Execution Bound,6.1
4,Allocation Bound,0.0
5,Allocation Restriction,0.0
2,Info Metrics,
3,Stores Bound,0.000088
3,Load Bound,0.006639
1,Average CPU Frequency,2484889863.047478
1,Total Thread Count,3
1,Paused Time,0.0
0,Effective Physical Core Utilization,8.6% (0.856 out of 10)
1,Effective Logical Core Utilization,7.6% (0.918 out of 12)
0,Collection and Platform Info,
1,Application Command Line,C:\Users\kamil\Desktop\studia\semestr_6\rownolegle\Projekt1_OpenMP_Sito\x64\Release\K1_Dzielenie_sekwencyjne.exe "-m" "2" "-n" "50000000" "-t" "1" 
1,Operating System,Microsoft Windows 11
1,Computer Name,THINPAD_KAMIL
1,Result Size,86812971
1,Collection start time,16:32:30 20/05/2026 UTC
1,Collection stop time,16:32:57 20/05/2026 UTC
1,Collector Type,Event-based sampling driver
1,CPU,
2,Name,Intel(R) microarchitecture code named Alderlake-P
2,Frequency,2496009059
2,Logical CPU Count,12
2,Cache Allocation Technology,
3,Level 2 capability,not detected
3,Level 3 capability,not detected
