Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,7.925452
1,Clockticks,119206464000
2,Performance-core (P-core),13925184000
2,Efficient-core (E-core),105281280000
1,Instructions Retired,196440192000
2,Performance-core (P-core),12512448000
2,Efficient-core (E-core),183927744000
1,CPI Rate,0.606833
2,Performance-core (P-core),1.112906
2,Efficient-core (E-core),0.572406
1,MUX Reliability,0.999382
1,Performance-core (P-core),
2,Retiring,34.8
3,Light Operations,28.7
4,FP Arithmetic,0.0
5,FP x87,0.0
5,FP Scalar,0.0
5,FP Vector,0.0
6,128-bit FP Vector,0.0
6,256-bit FP Vector,0.0
4,Integer Operations,0.0
5,128-bit Integer Vector Operations,0.0
5,256-bit Vector Operations,0.0
4,Memory Operations,3.7
4,Fused Instructions,3.8
4,Non Fused Branches,3.1
4,Other,18.1
5,Nop Instructions,0.0
5,Shuffles_256b,0.0
3,Heavy Operations,6.1
4,Few Uops Instructions,6.1
4,Microcode Sequencer,0.0
5,Assists,0.0
6,Page Faults,0.0
6,FP Assists,0.0
6,AVX Assists,0.0
5,CISC,0.0
2,Front-End Bound,44.4
3,Front-End Latency,24.5
4,ICache Misses,0.0
5,Code L2 Hit,0.0
5,Code L2 Miss,0.0
4,ITLB Misses,0.1
5,Code STLB Hit,0.0
5,Code STLB Miss,0.2
6,Code STLB Miss 4K,0.0
6,Code STLB Miss 2M,0.0
4,Branch Resteers,6.2
5,Mispredicts Resteers,8.7
5,Clears Resteers,0.0
5,Unknown Branches,0.0
4,MS Switches,0.0
4,Length Changing Prefixes,0.0
4,DSB Switches,0.4
3,Front-End Bandwidth,19.9
4,Front-End Bandwidth MITE,0.5
5,Decoder-0 Alone,0.0
4,Front-End Bandwidth DSB,34.8
4,Front-End Bandwidth LSD,1.9
4,MS,0.0
4,(Info) DSB Coverage,70.2
4,(Info) LSD Coverage,11.9
4,(Info) DSB Misses,1.6
2,Bad Speculation,16.9
3,Branch Mispredict,23.6
4,Other Mispredicts,0.0
3,Machine Clears,0.0
4,Other Nukes,0.0
2,Back-End Bound,3.9
3,Memory Bound,0.0
4,L1 Bound,16.3
5,DTLB Overhead,0.2
6,Load STLB Hit,0.2
6,Load STLB Miss,0.0
7,Load STLB Miss 4K,0.0
7,Load STLB Miss 2M,0.0
7,Load STLB Miss 1G,0.0
5,Loads Blocked by Store Forwarding,0.0
5,L1 Latency Dependency,5.8
5,Lock Latency,0.0
5,Split Loads,0.0
5,FB Full,0.0
4,L2 Bound,0.2
5,L2 Hit Latency,
4,L3 Bound,0.0
5,L3 Latency,
5,SQ Full,0.0
4,DRAM Bound,0.0
5,Memory Bandwidth,0.0
5,Memory Latency,3.0
4,Store Bound,0.0
5,Store Latency,0.0
5,Split Stores,0.0
5,DTLB Store Overhead,0.0
6,Store STLB Hit,0.0
6,Store STLB Miss,0.0
7,Store STLB Miss 4K,0.0
7,Store STLB Miss 2M,0.0
7,Store STLB Miss 1G,0.0
3,Core Bound,3.9
4,Divider,11.0
5,FP Divider,0.0
5,INT Divider,11.0
4,Serializing Operations,0.2
5,Slow Pause,0.0
5,C01 Wait,0.0
5,C02 Wait,0.0
5,Memory Fence,0.0
4,Port Utilization,38.3
5,Cycles of 0 Ports Utilized,1.0
6,Mixing Vectors,0.0
5,Cycles of 1 Port Utilized,26.2
5,Cycles of 2 Ports Utilized,22.5
5,Cycles of 3+ Ports Utilized,13.8
6,ALU Operation Utilization,38.5
7,Port 0,35.3
7,Port 1,35.3
7,Port 6,49.6
6,Load Operation Utilization,10.2
6,Store Operation Utilization,0.0
5,Vector Capacity Usage (FPU),0.0
1,Efficient-core (E-core),
2,Retiring,37.3
3,Arith Ops,32.0
4,Non Divider,30.6
4,FP Divide,0.0
4,Int Divider,1.4
3,Mem Ops,5.3
4,Loads,5.2
4,Stores,0.0
2,Front-End Bound,33.2
3,IFetch Latency,0.7
4,ICache Misses,0.0
4,ITLB Misses,0.2
4,BACLEARS,0.0
4,Branch Resteers,0.5
3,IFetch Bandwidth,32.5
4,Cisc,10.1
4,Decode,3.1
4,Pre-Decode Wrong,0.0
4,Front-End Other,19.1
2,Bad Speculation,27.4
3,Branch Mispredict,27.7
3,Machine Clears,0.0
4,Ucode_Assist,0.0
4,Machine_Restart,0.0
2,Back-End Bound,2.0
3,Memory Subsystem Bound,0.8
4,L2 Bound,0.2
4,L2 Miss,0.2
5,L3 Bound,0.2
5,Memory Bound,0.0
3,Core Bound,1.3
4,Serializing Operations,0.6
5,Pause,0.1
5,TPause,0.0
4,L1 Bound,0.1
4,RB Bound,0.0
4,Store Bound,0.0
4,Execution Bound,0.5
4,Allocation Bound,0.0
5,Allocation Restriction,0.0
2,Info Metrics,
3,Stores Bound,0.000296
3,Load Bound,0.008830
1,Average CPU Frequency,1892172952.824032
1,Total Thread Count,15
1,Paused Time,0.0
0,Effective Physical Core Utilization,70.2% (7.018 out of 10)
1,Effective Logical Core Utilization,66.2% (7.948 out of 12)
0,Collection and Platform Info,
1,Application Command Line,C:\Users\kamil\Desktop\studia\semestr_6\rownolegle\Projekt1_OpenMP_Sito\x64\Release\K2_Dzielenie_równoległe.exe "-m" "50000000" "-n" "100000000" "-t" "1" 
1,Operating System,Microsoft Windows 11
1,Computer Name,THINPAD_KAMIL
1,Result Size,143109941
1,Collection start time,16:34:12 20/05/2026 UTC
1,Collection stop time,16:34:20 20/05/2026 UTC
