Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,1.369071
1,Clockticks,5526144000
2,Performance-core (P-core),5448768000
2,Efficient-core (E-core),77376000
1,Instructions Retired,17928768000
2,Performance-core (P-core),17721600000
2,Efficient-core (E-core),207168000
1,CPI Rate,0.308228
2,Performance-core (P-core),0.307465
2,Efficient-core (E-core),0.373494
1,MUX Reliability,0.916137
1,Performance-core (P-core),
2,Retiring,45.7
3,Light Operations,45.0
4,FP Arithmetic,0.0
5,FP x87,0.0
5,FP Scalar,0.0
5,FP Vector,0.0
6,128-bit FP Vector,0.0
6,256-bit FP Vector,0.0
4,Integer Operations,0.0
5,128-bit Integer Vector Operations,0.0
5,256-bit Vector Operations,0.0
4,Memory Operations,8.2
4,Fused Instructions,7.3
4,Non Fused Branches,2.9
4,Other,26.6
5,Nop Instructions,0.0
5,Shuffles_256b,0.0
3,Heavy Operations,0.7
4,Few Uops Instructions,0.7
4,Microcode Sequencer,0.0
5,Assists,0.0
6,Page Faults,0.0
6,FP Assists,0.0
6,AVX Assists,0.0
5,CISC,0.0
2,Front-End Bound,10.6
3,Front-End Latency,3.5
4,ICache Misses,0.3
5,Code L2 Hit,0.3
5,Code L2 Miss,0.0
4,ITLB Misses,4.7
5,Code STLB Hit,4.6
5,Code STLB Miss,0.1
6,Code STLB Miss 4K,0.0
6,Code STLB Miss 2M,0.0
4,Branch Resteers,1.5
5,Mispredicts Resteers,
5,Clears Resteers,
5,Unknown Branches,0.0
4,MS Switches,0.0
4,Length Changing Prefixes,0.0
4,DSB Switches,0.2
3,Front-End Bandwidth,7.1
4,Front-End Bandwidth MITE,0.0
5,Decoder-0 Alone,0.0
4,Front-End Bandwidth DSB,5.7
4,Front-End Bandwidth LSD,0.0
4,MS,0.6
4,(Info) DSB Coverage,43.9
4,(Info) LSD Coverage,65.7
4,(Info) DSB Misses,0.1
2,Bad Speculation,0.0
3,Branch Mispredict,11.9
4,Other Mispredicts,0.0
3,Machine Clears,0.0
4,Other Nukes,0.0
2,Back-End Bound,44.0
3,Memory Bound,17.9
4,L1 Bound,0.0
5,DTLB Overhead,0.2
6,Load STLB Hit,0.0
6,Load STLB Miss,0.2
7,Load STLB Miss 4K,0.0
7,Load STLB Miss 2M,0.0
7,Load STLB Miss 1G,0.0
5,Loads Blocked by Store Forwarding,0.0
5,L1 Latency Dependency,1.2
5,Lock Latency,0.0
5,Split Loads,0.0
5,FB Full,2.3
4,L2 Bound,0.0
5,L2 Hit Latency,0.0
4,L3 Bound,0.0
5,L3 Latency,0.0
5,SQ Full,0.0
4,DRAM Bound,0.6
5,Memory Bandwidth,0.0
5,Memory Latency,1.2
4,Store Bound,8.8
5,Store Latency,24.7
5,Split Stores,0.0
5,DTLB Store Overhead,13.0
6,Store STLB Hit,8.0
6,Store STLB Miss,5.0
7,Store STLB Miss 4K,0.0
7,Store STLB Miss 2M,0.0
7,Store STLB Miss 1G,0.0
3,Core Bound,26.2
4,Divider,2.3
5,FP Divider,0.0
5,INT Divider,2.3
4,Serializing Operations,0.3
5,Slow Pause,0.0
5,C01 Wait,0.0
5,C02 Wait,0.0
5,Memory Fence,0.0
4,Port Utilization,26.9
5,Cycles of 0 Ports Utilized,1.6
6,Mixing Vectors,0.0
5,Cycles of 1 Port Utilized,7.0
5,Cycles of 2 Ports Utilized,14.1
5,Cycles of 3+ Ports Utilized,48.2
6,ALU Operation Utilization,33.2
7,Port 0,34.3
7,Port 1,35.8
7,Port 6,35.8
6,Load Operation Utilization,0.5
6,Store Operation Utilization,18.2
5,Vector Capacity Usage (FPU),0.0
1,Efficient-core (E-core),
2,Retiring,100.0
3,Arith Ops,100.0
4,Non Divider,100.0
4,FP Divide,0.0
4,Int Divider,0.0
3,Mem Ops,5.8
4,Loads,0.0
4,Stores,5.0
2,Front-End Bound,12.4
3,IFetch Latency,4.1
4,ICache Misses,2.1
4,ITLB Misses,0.0
4,BACLEARS,2.1
4,Branch Resteers,0.0
3,IFetch Bandwidth,8.3
4,Cisc,0.0
4,Decode,2.1
4,Pre-Decode Wrong,0.0
4,Front-End Other,0.0
2,Bad Speculation,0.0
3,Branch Mispredict,0.0
3,Machine Clears,0.0
4,Ucode_Assist,0.0
4,Machine_Restart,0.0
2,Back-End Bound,80.6
3,Memory Subsystem Bound,2.1
4,L2 Bound,0.0
4,L2 Miss,0.0
5,L3 Bound,0.0
5,Memory Bound,0.0
3,Core Bound,78.6
4,Serializing Operations,2.1
5,Pause,0.0
5,TPause,0.0
4,L1 Bound,0.0
4,RB Bound,0.0
4,Store Bound,22.0
4,Execution Bound,54.5
4,Allocation Bound,0.0
5,Allocation Restriction,0.0
2,Info Metrics,
3,Stores Bound,0.220004
3,Load Bound,0.020679
1,Average CPU Frequency,4218445800.810687
1,Total Thread Count,3
1,Paused Time,0.0
0,Effective Physical Core Utilization,7.8% (0.778 out of 10)
1,Effective Logical Core Utilization,8.0% (0.957 out of 12)
0,Collection and Platform Info,
1,Application Command Line,C:\Users\kamil\Desktop\studia\semestr_6\rownolegle\Projekt1_OpenMP_Sito\x64\Release\K3a_Sito_sekwencyjne_z_lokalnoscia.exe "-m" "2" "-n" "50000000" "-t" "20" "-b" "49152" 
1,Operating System,Microsoft Windows 11
1,Computer Name,THINPAD_KAMIL
1,Result Size,13400706
1,Collection start time,16:39:04 20/05/2026 UTC
1,Collection stop time,16:39:05 20/05/2026 UTC
1,Collector Type,Event-based sampling driver
1,CPU,
2,Name,Intel(R) microarchitecture code named Alderlake-P
2,Frequency,2496009033
2,Logical CPU Count,12
2,Cache Allocation Technology,
3,Level 2 capability,not detected
3,Level 3 capability,not detected
