Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,1.809710
1,Clockticks,6230016000
2,Performance-core (P-core),6135168000
2,Efficient-core (E-core),94848000
1,Instructions Retired,18957120000
2,Performance-core (P-core),18737472000
2,Efficient-core (E-core),219648000
1,CPI Rate,0.328637
2,Performance-core (P-core),0.327428
2,Efficient-core (E-core),0.431818
1,MUX Reliability,0.875762
1,Performance-core (P-core),
2,Retiring,46.2
3,Light Operations,45.4
4,FP Arithmetic,0.0
5,FP x87,0.0
5,FP Scalar,0.0
5,FP Vector,0.0
6,128-bit FP Vector,0.0
6,256-bit FP Vector,0.0
4,Integer Operations,0.0
5,128-bit Integer Vector Operations,0.0
5,256-bit Vector Operations,0.0
4,Memory Operations,7.5
4,Fused Instructions,7.3
4,Non Fused Branches,0.0
4,Other,31.8
5,Nop Instructions,0.0
5,Shuffles_256b,0.0
3,Heavy Operations,0.8
4,Few Uops Instructions,0.8
4,Microcode Sequencer,0.0
5,Assists,0.0
6,Page Faults,0.0
6,FP Assists,0.0
6,AVX Assists,0.0
5,CISC,0.0
2,Front-End Bound,10.1
3,Front-End Latency,3.1
4,ICache Misses,0.0
5,Code L2 Hit,0.0
5,Code L2 Miss,0.0
4,ITLB Misses,13.4
5,Code STLB Hit,13.1
5,Code STLB Miss,0.2
6,Code STLB Miss 4K,0.0
6,Code STLB Miss 2M,0.0
4,Branch Resteers,1.8
5,Mispredicts Resteers,1.4
5,Clears Resteers,0.4
5,Unknown Branches,0.0
4,MS Switches,0.0
4,Length Changing Prefixes,0.0
4,DSB Switches,0.4
3,Front-End Bandwidth,7.0
4,Front-End Bandwidth MITE,0.0
5,Decoder-0 Alone,0.0
4,Front-End Bandwidth DSB,4.7
4,Front-End Bandwidth LSD,0.0
4,MS,0.0
4,(Info) DSB Coverage,29.5
4,(Info) LSD Coverage,61.8
4,(Info) DSB Misses,0.1
2,Bad Speculation,19.9
3,Branch Mispredict,15.4
4,Other Mispredicts,0.0
3,Machine Clears,4.5
4,Other Nukes,4.5
2,Back-End Bound,23.8
3,Memory Bound,2.3
4,L1 Bound,1.0
5,DTLB Overhead,0.5
6,Load STLB Hit,0.4
6,Load STLB Miss,0.1
7,Load STLB Miss 4K,0.0
7,Load STLB Miss 2M,0.0
7,Load STLB Miss 1G,0.0
5,Loads Blocked by Store Forwarding,0.0
5,L1 Latency Dependency,1.5
5,Lock Latency,0.0
5,Split Loads,0.0
5,FB Full,14.6
4,L2 Bound,0.0
5,L2 Hit Latency,0.0
4,L3 Bound,0.0
5,L3 Latency,0.0
5,SQ Full,0.0
4,DRAM Bound,0.0
5,Memory Bandwidth,0.5
5,Memory Latency,0.0
4,Store Bound,6.3
5,Store Latency,12.5
5,Split Stores,0.0
5,DTLB Store Overhead,7.2
6,Store STLB Hit,6.8
6,Store STLB Miss,0.4
7,Store STLB Miss 4K,0.0
7,Store STLB Miss 2M,0.0
7,Store STLB Miss 1G,0.0
3,Core Bound,21.5
4,Divider,3.7
5,FP Divider,0.0
5,INT Divider,3.7
4,Serializing Operations,0.4
5,Slow Pause,0.0
5,C01 Wait,0.0
5,C02 Wait,0.0
5,Memory Fence,0.0
4,Port Utilization,20.4
5,Cycles of 0 Ports Utilized,0.5
6,Mixing Vectors,0.0
5,Cycles of 1 Port Utilized,8.3
5,Cycles of 2 Ports Utilized,10.4
5,Cycles of 3+ Ports Utilized,69.9
6,ALU Operation Utilization,40.6
7,Port 0,38.2
7,Port 1,39.1
7,Port 6,46.6
6,Load Operation Utilization,1.9
6,Store Operation Utilization,21.9
5,Vector Capacity Usage (FPU),0.0
1,Efficient-core (E-core),
2,Retiring,38.8
3,Arith Ops,31.4
4,Non Divider,31.4
4,FP Divide,0.0
4,Int Divider,0.0
3,Mem Ops,7.4
4,Loads,0.3
4,Stores,7.1
2,Front-End Bound,3.4
3,IFetch Latency,1.7
4,ICache Misses,0.0
4,ITLB Misses,0.0
4,BACLEARS,0.0
4,Branch Resteers,0.0
3,IFetch Bandwidth,1.7
4,Cisc,1.7
4,Decode,0.0
4,Pre-Decode Wrong,0.0
4,Front-End Other,0.0
2,Bad Speculation,30.8
3,Branch Mispredict,0.0
3,Machine Clears,30.8
4,Ucode_Assist,0.0
4,Machine_Restart,0.0
2,Back-End Bound,27.0
3,Memory Subsystem Bound,1.7
4,L2 Bound,0.0
4,L2 Miss,0.0
5,L3 Bound,0.0
5,Memory Bound,0.0
3,Core Bound,25.3
4,Serializing Operations,1.7
5,Pause,0.7
5,TPause,0.0
4,L1 Bound,5.7
4,RB Bound,0.0
4,Store Bound,17.9
4,Execution Bound,0.0
4,Allocation Bound,0.0
5,Allocation Restriction,0.0
2,Info Metrics,
3,Stores Bound,0.265878
3,Load Bound,0.101215
1,Average CPU Frequency,3609524189.478563
1,Total Thread Count,4
1,Paused Time,0.0
0,Effective Physical Core Utilization,10.5% (1.049 out of 10)
1,Effective Logical Core Utilization,7.9% (0.954 out of 12)
0,Collection and Platform Info,
1,Application Command Line,C:\Users\kamil\Desktop\studia\semestr_6\rownolegle\Projekt1_OpenMP_Sito\x64\Release\K3a_Sito_sekwencyjne_z_lokalnoscia.exe "-m" "50000000" "-n" "100000000" "-t" "20" "-b" "49152" 
1,Operating System,Microsoft Windows 11
1,Computer Name,THINPAD_KAMIL
1,Result Size,14104417
1,Collection start time,16:38:33 20/05/2026 UTC
1,Collection stop time,16:38:34 20/05/2026 UTC
1,Collector Type,Event-based sampling driver
1,CPU,
2,Name,Intel(R) microarchitecture code named Alderlake-P
2,Frequency,2496009115
2,Logical CPU Count,12
2,Cache Allocation Technology,
3,Level 2 capability,not detected
3,Level 3 capability,not detected
