Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,1.960745
1,Clockticks,33139392000
2,Performance-core (P-core),11089728000
2,Efficient-core (E-core),22049664000
1,Instructions Retired,9482304000
2,Performance-core (P-core),3938688000
2,Efficient-core (E-core),5543616000
1,CPI Rate,3.494867
2,Performance-core (P-core),2.815589
2,Efficient-core (E-core),3.977488
1,MUX Reliability,0.996252
1,Performance-core (P-core),
2,Retiring,8.8
3,Light Operations,8.4
4,FP Arithmetic,0.0
5,FP x87,0.0
5,FP Scalar,0.0
5,FP Vector,0.0
6,128-bit FP Vector,0.0
6,256-bit FP Vector,0.0
4,Integer Operations,0.0
5,128-bit Integer Vector Operations,0.0
5,256-bit Vector Operations,0.0
4,Memory Operations,3.0
4,Fused Instructions,0.0
4,Non Fused Branches,1.6
4,Other,3.8
5,Nop Instructions,0.0
5,Shuffles_256b,0.0
3,Heavy Operations,0.4
4,Few Uops Instructions,0.4
4,Microcode Sequencer,0.0
5,Assists,0.0
6,Page Faults,0.0
6,FP Assists,0.0
6,AVX Assists,0.0
5,CISC,0.0
2,Front-End Bound,7.1
3,Front-End Latency,3.9
4,ICache Misses,0.9
5,Code L2 Hit,0.0
5,Code L2 Miss,1.7
4,ITLB Misses,3.1
5,Code STLB Hit,2.8
5,Code STLB Miss,0.3
6,Code STLB Miss 4K,0.0
6,Code STLB Miss 2M,0.0
4,Branch Resteers,1.9
5,Mispredicts Resteers,0.0
5,Clears Resteers,1.9
5,Unknown Branches,0.0
4,MS Switches,0.0
4,Length Changing Prefixes,0.0
4,DSB Switches,0.4
3,Front-End Bandwidth,3.2
4,Front-End Bandwidth MITE,0.6
5,Decoder-0 Alone,0.0
4,Front-End Bandwidth DSB,0.0
4,Front-End Bandwidth LSD,1.3
4,MS,0.0
4,(Info) DSB Coverage,4.7
4,(Info) LSD Coverage,56.2
4,(Info) DSB Misses,1.3
2,Bad Speculation,8.1
3,Branch Mispredict,0.0
4,Other Mispredicts,0.0
3,Machine Clears,8.1
4,Other Nukes,8.1
2,Back-End Bound,76.0
3,Memory Bound,58.0
4,L1 Bound,6.6
5,DTLB Overhead,1.0
6,Load STLB Hit,0.0
6,Load STLB Miss,1.0
7,Load STLB Miss 4K,0.0
7,Load STLB Miss 2M,0.0
7,Load STLB Miss 1G,0.0
5,Loads Blocked by Store Forwarding,0.0
5,L1 Latency Dependency,7.7
5,Lock Latency,0.0
5,Split Loads,0.0
5,FB Full,73.6
4,L2 Bound,0.0
5,L2 Hit Latency,
4,L3 Bound,3.2
5,L3 Latency,
5,SQ Full,8.7
4,DRAM Bound,1.4
5,Memory Bandwidth,0.9
5,Memory Latency,11.0
4,Store Bound,49.6
5,Store Latency,79.9
5,Split Stores,0.0
5,DTLB Store Overhead,97.8
6,Store STLB Hit,0.0
6,Store STLB Miss,97.8
7,Store STLB Miss 4K,97.8
7,Store STLB Miss 2M,0.0
7,Store STLB Miss 1G,0.0
3,Core Bound,18.0
4,Divider,0.0
5,FP Divider,0.0
5,INT Divider,0.0
4,Serializing Operations,2.8
5,Slow Pause,0.0
5,C01 Wait,0.0
5,C02 Wait,0.0
5,Memory Fence,0.0
4,Port Utilization,47.4
5,Cycles of 0 Ports Utilized,40.6
6,Mixing Vectors,0.0
5,Cycles of 1 Port Utilized,5.8
5,Cycles of 2 Ports Utilized,5.8
5,Cycles of 3+ Ports Utilized,6.9
6,ALU Operation Utilization,7.0
7,Port 0,7.8
7,Port 1,6.5
7,Port 6,6.5
6,Load Operation Utilization,5.2
6,Store Operation Utilization,4.2
5,Vector Capacity Usage (FPU),0.0
1,Efficient-core (E-core),
2,Retiring,6.7
3,Arith Ops,5.2
4,Non Divider,5.2
4,FP Divide,0.0
4,Int Divider,0.0
3,Mem Ops,1.6
4,Loads,1.1
4,Stores,0.5
2,Front-End Bound,4.4
3,IFetch Latency,0.5
4,ICache Misses,0.4
4,ITLB Misses,0.1
4,BACLEARS,0.0
4,Branch Resteers,0.0
3,IFetch Bandwidth,4.0
4,Cisc,0.6
4,Decode,1.4
4,Pre-Decode Wrong,0.0
4,Front-End Other,0.9
2,Bad Speculation,0.0
3,Branch Mispredict,0.3
3,Machine Clears,0.0
4,Ucode_Assist,0.0
4,Machine_Restart,0.0
2,Back-End Bound,88.9
3,Memory Subsystem Bound,1.3
4,L2 Bound,0.3
4,L2 Miss,0.8
5,L3 Bound,0.8
5,Memory Bound,0.1
3,Core Bound,87.6
4,Serializing Operations,1.7
5,Pause,1.0
5,TPause,0.0
4,L1 Bound,2.4
4,RB Bound,0.0
4,Store Bound,44.1
4,Execution Bound,39.3
4,Allocation Bound,0.0
5,Allocation Restriction,0.0
2,Info Metrics,
3,Stores Bound,0.441051
3,Load Bound,0.036572
1,Average CPU Frequency,1845903859.201749
1,Total Thread Count,15
1,Paused Time,0.0
0,Effective Physical Core Utilization,65.9% (6.592 out of 10)
1,Effective Logical Core Utilization,75.7% (9.078 out of 12)
0,Collection and Platform Info,
1,Application Command Line,C:\Users\kamil\Desktop\studia\semestr_6\rownolegle\Projekt1_OpenMP_Sito\x64\Release\K4_Sito_równoległe_funkcyjne_zapis.exe "-m" "50000000" "-n" "100000000" "-t" "10" 
1,Operating System,Microsoft Windows 11
1,Computer Name,THINPAD_KAMIL
1,Result Size,53072447
1,Collection start time,16:40:15 20/05/2026 UTC
1,Collection stop time,16:40:17 20/05/2026 UTC
1,Collector Type,Event-based sampling driver
1,CPU,
2,Name,Intel(R) microarchitecture code named Alderlake-P
2,Frequency,2496009037
2,Logical CPU Count,12
2,Cache Allocation Technology,
3,Level 2 capability,not detected
3,Level 3 capability,not detected
