Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,4.808986
1,Clockticks,71922240000
2,Performance-core (P-core),12679680000
2,Efficient-core (E-core),59242560000
1,Instructions Retired,95494464000
2,Performance-core (P-core),22466496000
2,Efficient-core (E-core),73027968000
1,CPI Rate,0.753156
2,Performance-core (P-core),0.564382
2,Efficient-core (E-core),0.811231
1,MUX Reliability,0.999807
1,Performance-core (P-core),
2,Retiring,53.3
3,Light Operations,50.9
4,FP Arithmetic,0.0
5,FP x87,0.0
5,FP Scalar,0.0
5,FP Vector,0.0
6,128-bit FP Vector,0.0
6,256-bit FP Vector,0.0
4,Integer Operations,0.0
5,128-bit Integer Vector Operations,0.0
5,256-bit Vector Operations,0.0
4,Memory Operations,16.5
4,Fused Instructions,7.8
4,Non Fused Branches,0.0
4,Other,26.6
5,Nop Instructions,0.0
5,Shuffles_256b,0.0
3,Heavy Operations,2.4
4,Few Uops Instructions,2.4
4,Microcode Sequencer,0.0
5,Assists,0.0
6,Page Faults,0.0
6,FP Assists,0.0
6,AVX Assists,0.0
5,CISC,0.0
2,Front-End Bound,15.0
3,Front-End Latency,12.4
4,ICache Misses,0.4
5,Code L2 Hit,0.4
5,Code L2 Miss,0.0
4,ITLB Misses,7.2
5,Code STLB Hit,7.0
5,Code STLB Miss,0.2
6,Code STLB Miss 4K,0.0
6,Code STLB Miss 2M,0.0
4,Branch Resteers,1.8
5,Mispredicts Resteers,1.2
5,Clears Resteers,0.6
5,Unknown Branches,0.0
4,MS Switches,0.0
4,Length Changing Prefixes,0.0
4,DSB Switches,0.2
3,Front-End Bandwidth,2.6
4,Front-End Bandwidth MITE,0.0
5,Decoder-0 Alone,0.0
4,Front-End Bandwidth DSB,2.0
4,Front-End Bandwidth LSD,1.0
4,MS,1.3
4,(Info) DSB Coverage,23.1
4,(Info) LSD Coverage,75.3
4,(Info) DSB Misses,0.3
2,Bad Speculation,8.6
3,Branch Mispredict,5.6
4,Other Mispredicts,5.6
3,Machine Clears,3.0
4,Other Nukes,3.0
2,Back-End Bound,23.2
3,Memory Bound,14.4
4,L1 Bound,12.6
5,DTLB Overhead,0.1
6,Load STLB Hit,0.0
6,Load STLB Miss,0.1
7,Load STLB Miss 4K,0.0
7,Load STLB Miss 2M,0.0
7,Load STLB Miss 1G,0.0
5,Loads Blocked by Store Forwarding,0.0
5,L1 Latency Dependency,10.0
5,Lock Latency,0.0
5,Split Loads,0.0
5,FB Full,7.8
4,L2 Bound,0.0
