Hierarchy Level,Metric Name,Metric Value
0,Elapsed Time,2.941104
1,Clockticks,36067200000
2,Performance-core (P-core),9255168000
2,Efficient-core (E-core),26812032000
1,Instructions Retired,49598016000
2,Performance-core (P-core),16940352000
2,Efficient-core (E-core),32657664000
1,CPI Rate,0.727190
2,Performance-core (P-core),0.546339
2,Efficient-core (E-core),0.821003
1,MUX Reliability,0.991291
1,Performance-core (P-core),
2,Retiring,50.7
3,Light Operations,49.1
4,FP Arithmetic,0.0
5,FP x87,0.0
5,FP Scalar,0.0
5,FP Vector,0.0
6,128-bit FP Vector,0.0
6,256-bit FP Vector,0.0
4,Integer Operations,0.0
5,128-bit Integer Vector Operations,0.0
5,256-bit Vector Operations,0.0
4,Memory Operations,15.9
4,Fused Instructions,7.5
4,Non Fused Branches,0.3
4,Other,25.4
5,Nop Instructions,0.0
5,Shuffles_256b,0.0
3,Heavy Operations,1.7
4,Few Uops Instructions,1.7
4,Microcode Sequencer,0.0
5,Assists,0.0
6,Page Faults,0.0
6,FP Assists,0.0
6,AVX Assists,0.0
5,CISC,0.0
2,Front-End Bound,14.3
3,Front-End Latency,9.1
4,ICache Misses,0.5
5,Code L2 Hit,0.5
5,Code L2 Miss,0.0
4,ITLB Misses,5.8
5,Code STLB Hit,5.6
5,Code STLB Miss,0.2
6,Code STLB Miss 4K,0.0
6,Code STLB Miss 2M,0.0
4,Branch Resteers,1.9
5,Mispredicts Resteers,0.9
5,Clears Resteers,1.0
5,Unknown Branches,0.0
4,MS Switches,0.0
4,Length Changing Prefixes,0.0
4,DSB Switches,0.5
3,Front-End Bandwidth,5.3
4,Front-End Bandwidth MITE,2.1
5,Decoder-0 Alone,0.0
4,Front-End Bandwidth DSB,2.1
4,Front-End Bandwidth LSD,2.1
4,MS,2.3
4,(Info) DSB Coverage,21.5
4,(Info) LSD Coverage,56.8
4,(Info) DSB Misses,1.8
2,Bad Speculation,22.3
3,Branch Mispredict,10.5
4,Other Mispredicts,10.5
3,Machine Clears,11.8
4,Other Nukes,11.8
2,Back-End Bound,12.6
3,Memory Bound,10.5
4,L1 Bound,10.0
5,DTLB Overhead,0.4
6,Load STLB Hit,0.2
6,Load STLB Miss,0.2
7,Load STLB Miss 4K,0.0
7,Load STLB Miss 2M,0.0
7,Load STLB Miss 1G,0.0
5,Loads Blocked by Store Forwarding,0.0
5,L1 Latency Dependency,11.0
5,Lock Latency,0.0
5,Split Loads,0.0
5,FB Full,6.2
4,L2 Bound,0.7
5,L2 Hit Latency,0.0
4,L3 Bound,0.0
5,L3 Latency,0.0
5,SQ Full,0.0
4,DRAM Bound,0.3
5,Memory Bandwidth,1.0
5,Memory Latency,7.6
4,Store Bound,16.3
5,Store Latency,53.9
5,Split Stores,0.0
5,DTLB Store Overhead,38.3
6,Store STLB Hit,37.7
6,Store STLB Miss,0.6
7,Store STLB Miss 4K,0.0
7,Store STLB Miss 2M,0.0
7,Store STLB Miss 1G,0.0
3,Core Bound,2.1
4,Divider,0.3
5,FP Divider,0.0
5,INT Divider,0.3
4,Serializing Operations,12.2
5,Slow Pause,3.5
5,C01 Wait,0.0
5,C02 Wait,0.0
5,Memory Fence,0.0
4,Port Utilization,29.0
5,Cycles of 0 Ports Utilized,0.4
6,Mixing Vectors,0.0
5,Cycles of 1 Port Utilized,14.5
5,Cycles of 2 Ports Utilized,13.1
5,Cycles of 3+ Ports Utilized,39.4
6,ALU Operation Utilization,47.5
7,Port 0,44.2
7,Port 1,42.8
7,Port 6,56.6
6,Load Operation Utilization,20.3
6,Store Operation Utilization,27.6
5,Vector Capacity Usage (FPU),0.0
1,Efficient-core (E-core),
2,Retiring,25.5
3,Arith Ops,18.5
4,Non Divider,18.5
4,FP Divide,0.0
4,Int Divider,0.0
3,Mem Ops,7.0
4,Loads,3.6
4,Stores,3.3
2,Front-End Bound,6.0
3,IFetch Latency,0.4
4,ICache Misses,0.2
4,ITLB Misses,0.1
4,BACLEARS,0.1
4,Branch Resteers,0.1
3,IFetch Bandwidth,5.5
4,Cisc,2.2
4,Decode,1.3
4,Pre-Decode Wrong,0.0
4,Front-End Other,1.5
2,Bad Speculation,4.8
3,Branch Mispredict,5.0
3,Machine Clears,0.0
4,Ucode_Assist,0.0
4,Machine_Restart,0.0
2,Back-End Bound,63.8
3,Memory Subsystem Bound,2.7
4,L2 Bound,0.9
4,L2 Miss,1.7
5,L3 Bound,1.6
5,Memory Bound,0.1
3,Core Bound,61.1
4,Serializing Operations,11.9
5,Pause,3.1
5,TPause,0.0
4,L1 Bound,2.6
4,RB Bound,0.0
4,Store Bound,43.0
4,Execution Bound,3.1
4,Allocation Bound,0.5
5,Allocation Restriction,0.5
2,Info Metrics,
3,Stores Bound,0.430321
3,Load Bound,0.053708
1,Average CPU Frequency,1567735847.909241
1,Total Thread Count,15
1,Paused Time,0.0
0,Effective Physical Core Utilization,60.7% (6.071 out of 10)
1,Effective Logical Core Utilization,63.3% (7.593 out of 12)
0,Collection and Platform Info,
1,Application Command Line,C:\Users\kamil\Desktop\studia\semestr_6\rownolegle\Projekt1_OpenMP_Sito\x64\Release\K5_Sito_równoległe_domenowe.exe "-m" "50000000" "-n" "100000000" "-t" "50" "-b" "65536" 
1,Operating System,Microsoft Windows 11
1,Computer Name,THINPAD_KAMIL
1,Result Size,85519787
1,Collection start time,16:43:51 20/05/2026 UTC
1,Collection stop time,16:43:54 20/05/2026 UTC
1,Collector Type,Event-based sampling driver
1,CPU,
2,Name,Intel(R) microarchitecture code named Alderlake-P
2,Frequency,2496009060
2,Logical CPU Count,12
2,Cache Allocation Technology,
3,Level 2 capability,not detected
3,Level 3 capability,not detected
